survey_id,species_name
10,Black-and-white Warbler
9,Black-cowled Oriole
15,Black-cowled Oriole
13,Black-faced Antthrush
12,Black-faced Grosbeak
15,Black-faced Grosbeak
2,Black-headed Saltator
11,Black-headed Trogon
8,Blue-black Grassquit
7,Blue-black Grosbeak
12,Blue-black Grosbeak
7,Blue-gray Tanager
12,Blue-gray Tanager
14,Blue-gray Tanager
7,Blue-winged Teal
8,Blue-winged Teal
3,Brown Jay
9,Brown Jay
3,Brown-hooded Parrot
7,Brown-hooded Parrot
9,Buff-throated Saltator
13,Buff-throated Saltator
14,Buff-throated Saltator
10,Chestnut-sided Warbler
13,Chestnut-sided Warbler
14,Chestnut-sided Warbler
15,Chestnut-sided Warbler
1,Clay-colored Thrush
1,Collared Aracari
8,Collared Aracari
10,Collared Aracari
8,Common Yellowthroat
2,Dusky Antbird
11,Dusky Antbird
13,Dusky Antbird
14,Dusky Antbird
2,Dusky-capped Flycatcher
3,Dusky-capped Flycatcher
4,Golden-fronted Woodpecker
4,Golden-hooded Tanager
12,Golden-hooded Tanager
11,Grayish Saltator
1,Great Crested Flycatcher
3,Great Crested Flycatcher
10,Great Crested Flycatcher
7,Great Kiskadee
9,Great Kiskadee
8,Great-tailed Grackle
15,Great-tailed Grackle
3,Green Heron
4,Green Heron
2,Groove-billed Ani
12,Hooded Warbler
11,Kentucky Warbler
9,Least Flycatcher
11,Least Flycatcher
3,Magnolia Warbler
6,Magnolia Warbler
10,Magnolia Warbler
2,Masked Tityra
4,Masked Tityra
12,Masked Tityra
3,Mealy Parrot
9,Mealy Parrot
15,Mealy Parrot
2,Montezuma Oropendola
8,Montezuma Oropendola
7,Muscovy Duck
2,Northern Bentbill
4,Northern Bentbill
6,Northern Bentbill
10,Northern Bentbill
1,Northern Waterthrush
4,Northern Waterthrush
1,Ochre-bellied Flycatcher
2,Ochre-bellied Flycatcher
8,Ochre-bellied Flycatcher
11,Ochre-bellied Flycatcher
15,Ochre-bellied Flycatcher
6,Olive-backed Euphonia
12,Olive-backed Euphonia
3,Olive-throated Parakeet
7,Olive-throated Parakeet
1,Orchard Oriole
4,Orchard Oriole
6,Orchard Oriole
8,Pale-vented Pigeon
10,Pale-vented Pigeon
12,Pale-vented Pigeon
10,Plain Chachalaca
11,Plain Chachalaca
13,Plain Chachalaca
14,Plain Chachalaca
8,Red-legged Honeycreeper
11,Red-legged Honeycreeper
12,Red-legged Honeycreeper
13,Red-legged Honeycreeper
14,Red-legged Honeycreeper
4,Red-lored Parrot
9,Red-lored Parrot
3,Red-throated Ant-Tanager
8,Red-throated Ant-Tanager
15,Red-throated Ant-Tanager
4,Roadside Hawk
6,Roadside Hawk
13,Roadside Hawk
14,Roadside Hawk
9,Ruddy Ground-Dove
5,Rufous-tailed Hummingbird
9,Rufous-tailed Hummingbird
15,Rufous-tailed Hummingbird
2,Short-billed Pigeon
3,Short-billed Pigeon
5,Short-billed Pigeon
6,Short-billed Pigeon
5,Social Flycatcher
10,Social Flycatcher
6,Spot-breasted Wren
7,Spot-breasted Wren
1,Stripe-throated Hermit
5,Stripe-throated Hermit
1,Thick-billed Seed-Finch
10,Thick-billed Seed-Finch
9,Tropical Kingbird
11,Tropical Kingbird
13,Tropical Pewee
14,Tropical Pewee
15,Tropical Pewee
7,Vaux's Swift
5,White-breasted Wood-Wren
11,White-breasted Wood-Wren
4,White-collared Manakin
12,White-collared Manakin
7,White-collared Seedeater
13,White-collared Seedeater
14,White-collared Seedeater
6,White-crowned Parrot
2,Wing-barred Seedeater
5,Wing-barred Seedeater
6,Wing-barred Seedeater
1,Wood Thrush
13,Wood Thrush
14,Wood Thrush
5,Yellow Warbler
6,Yellow Warbler
5,Yellow-bellied Elaenia
5,Yellow-billed Cacique
1,Yellow-breasted Chat
15,Yellow-olive Flycatcher
5,Yellow-throated Euphonia
