survey_id,species_name
03,Amazon Kingfisher
09,American Kestrel
01,American Pygmy Kingfisher
01,Baltimore Oriole
05,Baltimore Oriole
08,Baltimore Oriole
09,Baltimore Oriole
12,Baltimore Oriole
04,Bananaquit
09,Barred Antshrike
02,Belted Kingfisher
10,Black-bellied Whistling-Duck
15,Black-cheeked Woodpecker
15,Black-cowled Oriole
08,Black-faced Antthrush
11,Black-faced Antthrush
07,Blue-gray Gnatcatcher
02,Blue-winged Warbler
07,Blue-winged Warbler
08,Boat-billed Flycatcher
01,Bronzed Cowbird
10,Brown Pelican
03,Brown-hooded Parrot
11,Brown-hooded Parrot
14,Buff-throated Foliage-gleaner
06,Buff-throated Saltator
13,Buff-throated Saltator
08,Cattle Egret
01,Collared Forest-Falcon
02,Common Tody-Flycatcher
03,Couch's Kingbird
14,Dot-winged Antwren
01,Dusky Antbird
08,Golden-hooded Tanager
10,Golden-hooded Tanager
02,Gray Catbird
03,Gray Catbird
04,Gray Catbird
05,Gray Catbird
08,Gray Catbird
09,Gray Catbird
10,Gray Catbird
11,Gray Catbird
12,Gray Catbird
14,Gray Catbird
15,Gray Catbird
08,Gray Hawk
12,Gray Hawk
08,Gray-crowned Yellowthroat
12,Gray-crowned Yellowthroat
13,Grayish Saltator
03,Great Antshrike
03,Great Blue Heron
09,Great Crested Flycatcher
15,Great Crested Flycatcher
07,Great Egret
11,Great Egret
15,Great Kiskadee
09,Great Tinamou
01,Great-tailed Grackle
02,Great-tailed Grackle
03,Great-tailed Grackle
04,Great-tailed Grackle
05,Great-tailed Grackle
06,Great-tailed Grackle
07,Great-tailed Grackle
09,Great-tailed Grackle
10,Great-tailed Grackle
11,Great-tailed Grackle
12,Great-tailed Grackle
13,Great-tailed Grackle
14,Great-tailed Grackle
10,Green Heron
12,Green Kingfisher
12,Green-backed Sparrow
05,Groove-billed Ani
03,Guianan Trogon
13,Guianan Trogon
10,Hooded Warbler
02,House Sparrow
02,House Wren
04,House Wren
06,House Wren
07,House Wren
08,House Wren
09,House Wren
11,House Wren
12,House Wren
13,House Wren
14,House Wren
15,House Wren
10,Ivory-billed Woodcreeper
13,Ivory-billed Woodcreeper
03,King Vulture
05,Laughing Falcon
10,Least Bittern
06,Least Flycatcher
03,Lesser Greenlet
08,Lesser Swallow-tailed Swift
06,Little Blue Heron
04,Little Tinamou
12,Little Tinamou
12,Long-billed Hermit
06,Magnificent Frigatebird
04,Mealy Parrot
14,Melodious Blackbird
04,Mottled Owl
13,Muscovy Duck
05,Northern Barred-Woodcreeper
10,Northern Parula
06,Northern Waterthrush
04,Olive-throated Parakeet
13,Orange-billed Sparrow
09,Orchard Oriole
07,Ovenbird
07,Passerini's Tanager
04,Philadelphia Vireo
15,Plain Chachalaca
11,Plain-breasted Ground-Dove
04,Purple-crowned Fairy
11,Red-capped Manakin
14,Rock Pigeon
07,Royal Flycatcher
11,Ruddy Ground-Dove
13,Ruddy Ground-Dove
06,Ruddy Quail-Dove
15,Ruddy Quail-Dove
05,Ruddy Woodcreeper
15,Ruddy Woodcreeper
11,Rufous-breasted Spinetail
14,Rufous-tailed Hummingbird
01,Sandwich Tern
05,Scaly-breasted Hummingbird
01,Short-tailed Hawk
02,Squirrel Cuckoo
07,Squirrel Cuckoo
13,Squirrel Cuckoo
05,Stub-tailed Spadebill
15,Sulphur-rumped Flycatcher
06,Thrush-like Schiffornis
09,Tricolored Heron
02,Tropical Kingbird
06,Vaux's Swift
14,Wedge-billed Woodcreeper
07,White-breasted Wood-Wren
02,Willow Flycatcher
14,Yellow Warbler
01,Yellow-bellied Sapsucker
01,Yellow-throated Vireo
05,Yellow-throated Vireo
