survey_id,species_name
01,American Redstart
04,American Redstart
06,American Redstart
12,American Redstart
01,Baltimore Oriole
01,Barred Antshrike
08,Barred Antshrike
10,Barred Antshrike
01,Black Vulture
03,Black Vulture
04,Black Vulture
06,Black Vulture
07,Black Vulture
09,Black Vulture
10,Black Vulture
11,Black Vulture
12,Black Vulture
13,Black Vulture
14,Black Vulture
15,Black Vulture
01,Blue Grosbeak
02,Blue Grosbeak
03,Blue Grosbeak
04,Blue Grosbeak
05,Blue Grosbeak
06,Blue Grosbeak
07,Blue Grosbeak
08,Blue Grosbeak
09,Blue Grosbeak
10,Blue Grosbeak
11,Blue Grosbeak
12,Blue Grosbeak
13,Blue Grosbeak
14,Blue Grosbeak
15,Blue Grosbeak
01,Blue-gray Tanager
02,Blue-gray Tanager
03,Blue-gray Tanager
04,Blue-gray Tanager
05,Blue-gray Tanager
06,Blue-gray Tanager
07,Blue-gray Tanager
08,Blue-gray Tanager
09,Blue-gray Tanager
11,Blue-gray Tanager
12,Blue-gray Tanager
13,Blue-gray Tanager
14,Blue-gray Tanager
15,Blue-gray Tanager
02,Blue-winged Teal
08,Blue-winged Teal
10,Brown Jay
11,Brown Jay
09,Brown-hooded Parrot
09,Cattle Egret
09,Cinnamon Hummingbird
01,Couch's Kingbird
02,Couch's Kingbird
03,Couch's Kingbird
11,Dusky Antbird
12,Golden-fronted Woodpecker
04,Golden-hooded Tanager
09,Golden-hooded Tanager
01,Gray Catbird
02,Gray Catbird
04,Gray Catbird
05,Gray Catbird
06,Gray Catbird
07,Gray Catbird
08,Gray Catbird
09,Gray Catbird
10,Gray Catbird
11,Gray Catbird
12,Gray Catbird
13,Gray Catbird
14,Gray Catbird
15,Gray Catbird
09,Grayish Saltator
02,Great Kiskadee
01,Groove-billed Ani
14,Groove-billed Ani
15,Groove-billed Ani
05,Lesser Greenlet
14,Lesser Greenlet
14,Lineated Woodpecker
15,Lineated Woodpecker
02,Mealy Parrot
03,Melodious Blackbird
06,Melodious Blackbird
12,Montezuma Oropendola
13,Montezuma Oropendola
07,Muscovy Duck
15,Muscovy Duck
02,Northern Waterthrush
08,Ochre-bellied Flycatcher
12,Olive-backed Euphonia
13,Olive-backed Euphonia
10,Olive-throated Parakeet
03,Orchard Oriole
11,Pale-billed Woodpecker
02,Plain Chachalaca
05,Plain Chachalaca
06,Plain Chachalaca
07,Plain Chachalaca
10,Plain Chachalaca
15,Plain Chachalaca
11,Red-lored Parrot
05,Roadside Hawk
07,Rock Pigeon
05,Rufous-tailed Hummingbird
13,Rufous-tailed Hummingbird
13,Short-billed Pigeon
10,Social Flycatcher
08,Spot-breasted Wren
03,Squirrel Cuckoo
04,Squirrel Cuckoo
07,Squirrel Cuckoo
03,Stripe-throated Hermit
13,Summer Tanager
01,Tropical Kingbird
02,Tropical Kingbird
03,Tropical Kingbird
04,Tropical Kingbird
05,Tropical Kingbird
06,Tropical Kingbird
07,Tropical Kingbird
08,Tropical Kingbird
09,Tropical Kingbird
10,Tropical Kingbird
11,Tropical Kingbird
12,Tropical Kingbird
13,Tropical Kingbird
14,Tropical Kingbird
15,Tropical Kingbird
04,Tropical Pewee
14,Tropical Pewee
15,Tropical Pewee
05,Turkey Vulture
10,Turkey Vulture
14,White-bellied Emerald
06,White-breasted Wood-Wren
07,White-breasted Wood-Wren
04,White-crowned Parrot
11,White-eyed Vireo
05,Yellow Warbler
06,Yellow Warbler
08,Yellow-bellied Elaenia
12,Yellow-billed Cacique
03,Yellow-throated Euphonia
08,Yellow-winged Tanager
