survey_id,species_name
12,Amazon Kingfisher
02,American Pygmy Kingfisher
03,American Pygmy Kingfisher
06,Anhinga
14,Anhinga
14,Baltimore Oriole
07,Bananaquit
01,Bare-throated Tiger-Heron
11,Black Vulture
04,Black-and-white Warbler
05,Black-headed Trogon
10,Black-throated Green Warbler
01,Blue Ground-Dove
10,Blue Ground-Dove
01,Blue-black Grassquit
08,Blue-gray Gnatcatcher
11,Blue-gray Gnatcatcher
07,Blue-winged Teal
10,Blue-winged Teal
04,Blue-winged Warbler
03,Boat-billed Heron
08,Bright-rumped Attila
12,Brown Pelican
07,Brown-crested Flycatcher
01,Cinnamon Hummingbird
09,Cinnamon Hummingbird
06,Collared Aracari
02,Common Pauraque
07,Common Tody-Flycatcher
12,Common Tody-Flycatcher
04,Common Yellowthroat
06,Common Yellowthroat
04,Dusky Antbird
10,Dusky Antbird
13,Dusky Antbird
01,Golden-olive Woodpecker
12,Golden-winged Warbler
07,Gray Catbird
14,Gray Catbird
01,Great Antshrike
09,Great Antshrike
10,Great Blue Heron
14,Great Blue Heron
09,Great-tailed Grackle
12,Great-tailed Grackle
13,Green Heron
11,Green-backed Sparrow
15,Green-backed Sparrow
02,Greenish Elaenia
05,Guianan Trogon
13,Hooded Warbler
02,House Sparrow
06,House Sparrow
09,Keel-billed Toucan
14,Keel-billed Toucan
07,Kentucky Warbler
10,Killdeer
04,Laughing Falcon
06,Laughing Falcon
04,Lesser Yellow-headed Vulture
04,Lineated Woodpecker
10,Lineated Woodpecker
03,Little Tinamou
09,Little Tinamou
06,Mangrove Swallow
05,Masked Tityra
04,Mealy Parrot
11,Mealy Parrot
09,Neotropic Cormorant
14,Northern Rough-winged Swallow
08,Northern Waterthrush
06,Olive-backed Euphonia
01,Orange-billed Sparrow
02,Orange-billed Sparrow
12,Orange-billed Sparrow
02,Osprey
13,Osprey
06,Pale-billed Woodpecker
13,Pale-vented Pigeon
14,Passerini's Tanager
13,Plain Chachalaca
11,Plain-breasted Ground-Dove
11,Purple-crowned Fairy
02,Red-legged Honeycreeper
03,Red-throated Ant-Tanager
05,Red-throated Ant-Tanager
09,Red-throated Ant-Tanager
08,Roadside Hawk
01,Rock Pigeon
14,Rock Pigeon
14,Royal Flycatcher
14,Royal Tern
03,Ruddy Crake
05,Ruddy Crake
05,Ruddy Quail-Dove
05,Rufous-breasted Spinetail
10,Rufous-tailed Hummingbird
12,Rufous-tailed Hummingbird
08,Sandwich Tern
07,Scaly-breasted Hummingbird
09,Scrub Euphonia
13,Sepia-capped Flycatcher
02,Short-billed Pigeon
10,Short-tailed Hawk
12,Short-tailed Hawk
09,Slate-headed Tody-Flycatcher
08,Slaty-tailed Trogon
04,Snowy Egret
01,Social Flycatcher
02,Sora
15,Sora
11,Squirrel Cuckoo
15,Stripe-throated Hermit
06,Summer Tanager
11,Tawny-crowned Greenlet
01,Tody Motmot
15,Tody Motmot
03,Tree Swallow
12,Tree Swallow
13,Tricolored Heron
15,Tricolored Heron
05,Tropical Gnatcatcher
11,Tropical Gnatcatcher
11,Tropical Kingbird
13,Vaux's Swift
15,Vaux's Swift
08,White-collared Seedeater
04,White-collared Swift
06,White-necked Jacobin
07,White-throated Flycatcher
12,White-throated Flycatcher
03,White-tipped Dove
05,White-tipped Dove
05,White-winged Dove
08,White-winged Dove
03,Willow Flycatcher
07,Willow Flycatcher
03,Wing-barred Seedeater
15,Wing-barred Seedeater
03,Wood Stork
07,Worm-eating Warbler
15,Yellow-bellied Elaenia
02,Yellow-billed Cacique
15,Yellow-breasted Chat
08,Yellow-crowned Night-Heron
09,Yellow-olive Flycatcher
15,Yellow-tailed Oriole
10,Yellow-throated Euphonia
08,Yellow-throated Warbler
13,Yellow-throated Warbler
